no,app,ulasan,label_bintang,bintang_rata,n_ulasan_sama,svm,logreg,nb,indobert
1,satusehat,Ini baru ok tpi donlood y dri gogle klo,positive,5.0,1,positive,positive,positive,positive
2,pertamina,"Sudah daftar, kenapa waktu masuk aplikasi nya kadang keluar sendiri...??? Udah gtu metode pembayarannya di arahkan ke link aja, apa gak bisa yg lain..???",negative,1.0,1,negative,negative,negative,negative
3,JMO,"Kenapa ga bisa cek saldo terus.. udah lumayan lama Keterangannya tidak terhubung ke server mulu, harus nanya kemana ini",neutral,3.0,1,negative,negative,negative,negative
4,satusehat,Tidak canggih aplikasinya...putar-putar membingungkan..mohon disempurnahkan lagi aplikasi pedulilindungi,negative,1.0,1,negative,negative,negative,negative
5,satusehat,Tolong di perbaikin lagi. Knpa sertifikat vaksin bisa tidak di tampilkn . Padahal sudah vaksin ke 1 dan ke 2 apa nunggu yng ke 3..,neutral,3.0,1,negative,negative,negative,neutral
6,mobileJKN,Aplikasi ini amat sangat membantu.. karena kami bisa jadi tahu tentang data kami dengan cepat.. Mobile JKN.. tetap semangat... !!!👍,positive,5.0,1,positive,positive,positive,positive
7,mobileJKN,Mantab bagus ok,positive,5.0,1,positive,positive,positive,positive
8,mobileJKN,Memudahkan pelayanan kesehatan,positive,5.0,3,positive,positive,positive,positive
9,pertamina,"Sering eror, sering keluar sendiri, terus pendaftaran juga ribet. Intinya RIBET!",negative,1.0,1,negative,negative,negative,negative
10,mobileJKN,Belum menjangkau didaerah terpencil,neutral,3.0,1,positive,positive,positive,positive
11,satusehat,Mohon direvisi..masa nama ktp sesuai nik..tapi diaplikasi nama orang lain...makanya donloud bracode nggk mungkin bisa..tlg direvisi lagi..nama vaksin yohanto..kq yg muncul dipeduli lindungi nama wagiman...kq bisa?,negative,1.0,1,negative,negative,negative,negative
12,JMO,Proses lebih mudah lewat apk ini,positive,5.0,1,positive,positive,positive,positive
13,satusehat,Cukup mudah untuk vaksin ke satu dan ke dua,positive,5.0,1,positive,positive,positive,positive
14,mobileJKN,Ini kenapa susah amat mau login juga. Captca nya ga muncul,neutral,3.0,1,negative,negative,negative,negative
15,mobileJKN,Aplikasi nya bagus dpt membantu masyarakat yg ingin mengetahui informasi bpjs,positive,5.0,1,positive,positive,positive,positive
16,JMO,Aplikasi JMO👍👍👍👍👍,positive,5.0,1,positive,positive,positive,positive
17,pertamina,Kenapa udah update scan ataupun uplod tetep ngg bisa... Ini sebenarnya bisa bikin aplikasi apa ngg... Sih.. Sungguh mengecewakan,negative,1.0,1,negative,negative,negative,negative
18,satusehat,"tolong di benerin lgi ya ini pas saya isi keluar dari aplikasi trs, saya jga emosi lama lama.... :))",negative,2.0,1,negative,negative,negative,negative
19,JMO,Mantap sekali jmo ini,positive,5.0,1,positive,positive,positive,positive
20,mobileJKN,Kenapa aplikasi jkn saya harus selalu di update ya? Jadi repot saya karena memori hp gak cukup klo terus2 n diupdate.,neutral,3.0,1,neutral,neutral,neutral,neutral
21,mobileJKN,"Aplikasi mobile jkn sering berhenti dan sering tidak selesai sewaktu saya mau login, saya dah nencoba di beberapa handphone dan hasilnya tetap mobile jkn berhenti begitu saja",negative,2.0,1,negative,negative,negative,negative
22,satusehat,"masuknya susah buat ngisi tanggal lahir tidak bisa, aplikasinya tidak sempurna, buru buru launching",negative,1.0,1,negative,negative,negative,negative
23,satusehat,Kadang nggak akurat. Saya tinggal di desa mertoyudan kok yg muncul notif kalai saya d banyurojo,neutral,3.0,1,negative,negative,neutral,neutral
24,JMO,mantap n sukses selalu ...👍👍,positive,5.0,1,positive,positive,positive,positive
25,satusehat,"Saya sdh vaksin 1 tgl 18 Mar 21 dapat sertifikat, Vaksin ke 2 tgl 1 Apr 21 blm dapat sertifikat hingga hari ini",negative,1.0,1,negative,negative,neutral,positive
26,JMO,"pelayanan dan aplikasi sangat baik, dan sangat membantu",positive,5.0,1,positive,positive,positive,positive
27,pertamina,fersi terbaru malah tdk bsa upload sama sekali nota pembayaran...,neutral,3.0,1,negative,negative,negative,negative
28,satusehat,"Kemarin 2 pas check in warnanya hijau,tp sekarang knp kok jd kuning trus tiap check in.trus belum di check out ehhh...udah check out sendiri.tolong dong diperbaharui lg nih aplikasi.",neutral,3.0,1,negative,negative,neutral,negative
29,pertamina,"Ribet, payah, parah",negative,1.0,1,negative,negative,negative,negative
30,satusehat,JANGAN SERING DI PERBARUI,neutral,3.0,1,positive,positive,neutral,positive
31,pertamina,Aplikasi ga jelas bikin susah Masyarakat,negative,1.0,1,negative,negative,negative,negative
32,JMO,Aplikasi eror banyak cengkonek 5 menit apaan 3hari 3 malam belum kerlar² keluar sendiri kembali sendiri disuruh ulang bagus,negative,1.0,1,negative,negative,negative,negative
33,mobileJKN,"Kenapa selalu minta d perbaharui, pdhal baru d perbaharui.",neutral,3.0,1,negative,negative,negative,neutral
34,JMO,Kenapa gak Max 1MB aja..!!!!!!,neutral,3.0,1,neutral,neutral,neutral,negative
35,mobileJKN,Lebih di tingkatkan lagi pelayanannya agar lebih baik,neutral,3.0,1,positive,positive,positive,positive
36,JMO,JMO lebih mantap,positive,5.0,2,positive,positive,positive,positive
37,JMO,"Saat pengkinian data sedang di input, aplikasi JMO tiba-tiba kembali ke menu awal dan menyebabkan akun saya terblokir berkali2. Tolong di lakukan perbaikan jika memang ada BUG pada aplikasi ini.",negative,1.0,1,negative,neutral,neutral,negative
38,mobileJKN,Tolong captcha nya dong ga muncul2 ih,neutral,3.0,1,negative,negative,negative,negative
39,pertamina,Di kota kendari kok gak ada di pilihan spbu yg tersedia? tolong dong kendari juga masukin,negative,1.0,1,neutral,neutral,neutral,neutral
40,pertamina,Transaksinya kadang agak lama gak enak sama yang lain lg antrian,neutral,3.0,1,neutral,neutral,neutral,neutral
41,pertamina,Masuk aja gak bisa aplikasi apa ini,positive,4.0,1,negative,negative,negative,negative
42,JMO,good aplication proses,positive,5.0,1,positive,positive,positive,positive
43,JMO,Saya lebih senang dgn apk jmo,positive,5.0,1,positive,positive,positive,positive
44,JMO,Haruuus lebih diperbaiki kembali dengan performa lg tingkat tinggi,neutral,3.0,1,neutral,neutral,neutral,positive
45,JMO,banyak menu yg masih dalam pengembangan semoga cepat selesai,neutral,3.0,1,positive,positive,positive,positive
46,mobileJKN,bpjs sangat membantu rakyat,positive,5.0,1,positive,positive,positive,positive
47,satusehat,Kenapa sertifikat saya belum ada saya sudah suntik 2 kali,neutral,3.0,1,negative,negative,neutral,negative
