app,ulasan,bintang
satusehat,Aplikasi ngk jelas,1
JMO,Setiap kali pengkinian data selalu gagal karena max foto 2 mb padahal setelah saya cek fotonya hanya berukuran 1.26mb. Ini aneh... Berasa ada niat terselubung dari admin jmo...,1
pertamina,Buruk Kode verif eror terus padahal sudah sama di sms mangkanya jangan sok sokan pakai aplikasi buat aplikasi yg kualitas bagus dulu baru sok sok pakai aplikasi booos,1
pertamina,Sampai bawaaah 👇👇,1
satusehat,Aplikasi yang terpercaya untuk dapat melihat suasana pandemi Corona,5
JMO,Sangat mudah dan cepat dipahami ... Thx,5
JMO,Padahal ngapain jga diganti jadi jmo padahal udah bgs bpjsku...jdi susah lagi loginnya😒😒😒hadeeehh,1
satusehat,Kenapa sertifikat saya gak ada keluar di aplikasi ini... bahkan saya udah melakukan vaksin tahap 1&2,1
mobileJKN,Aplikasi payah. Kalau gak siap jgn dilaunching. Mau registrasi saja selalu salah no hp. Padahal sudah sesuai dengan no hp yg didaftarkan dulu.,1
mobileJKN,MAU DAFTAR AJA SUSAH... GIMANA PELAYANANYA,1
mobileJKN,Kenapa ya waktu bulan 6 saya sudah daftar berobat online tgl 8 bulan juli .. Pas saya buka lg kok lg ada masalah server.. Kira2 nnti pas smpai rmh skit nama saya sudah terdaftar berobat blm ya soalnya antrian pertama,5
JMO,"Kenapa lama banget di transfer ke rekening nya, padahal sudah berhasil di proses di notifikasi nya.",5
mobileJKN,sangat membantu akses kami,5
JMO,"Niat gk sih yg bikin app ini,,.?",1
JMO,Terrrbaik tingkatkan terus kinerjanya,5
satusehat,Aplikasi sering loqout,3
satusehat,"Di update malah gak muncul sertipikatnya, kalau aplikasi belum stabil tolong jangan wajib dipakai untuk syarat perjalanan.",1
JMO,sudah lebih baik drpd sebelum nya,5
pertamina,Aplikasi blm siap udh di publish. Ga bisa send otp ni,1
satusehat,"Aplikasi yang dipaksakan, harusnya kayak di negara lain dong kl rakyat harus pakai aplikasi ini harus siap digunakan sehingga tidak bikin rakyat kesulitan, sampai sekarang data sudah masuk divaksin sudah lengkap tapi sertifikatnya tidak ada. Gimana ini?",1
satusehat,Setelah diperbaharui. Aplikasi tidak bisa dibuka. Mohon pembaharuan aplikasi selanjutnya untuk diperbaiki bug nya.,3
JMO,Keren si Mempermudah saya nyairin bpjs😁,5
pertamina,"Mengecewakan. aplikasi nya jelek, ribet.",1
pertamina,cara mendapatkan poin nya kok bs ya.. malahan jadi kupon undian semuanya,3
satusehat,"Aplikasi sangat membantu, bintang 5",5
pertamina,Ada admin 1000 / transaksi ya wah rugi donk kita,1
pertamina,"Niru temen aja gara"" Pada ngasih. 1 Bintang. Pantang Semamangat kawan. Terus mengeluh.",1
satusehat,Waduh .... untung banyak nih... jualan aplikasi judule...,1
pertamina,Tingkatkan promo dan diskon nya,5
JMO,sangat mendunkung,5
pertamina,"Making it difficult for small people, don't just think about convenience in the city, we Indonesians are still a lot of people who are farmers, fishermen, not to mention the problem of wearing headphones at gas stations",1
JMO,"Kok Saya tdk bisa kleam JHT melalui aplikasi JMO ini ya,",5
pertamina,sebagai warga yg baik ku selalu mengikuti aturan negara..,1
satusehat,Mana ada sertivikat,5
satusehat,Udh vaksin pertama tgl 15 / 9/21 sampai sekarang sertivikat vaksin gk ada di cek di pedullindung,1
pertamina,Bagaimana dengan orang tua yang gak tau teknologi?,1
mobileJKN,"Mudah digunakan, cukup lengkap fiturnya",5
pertamina,"Terlalu ribet, padahal banyak kebijakan kabijakan yg labih baik",1
satusehat,Tidak bisaa update tgl lahir sudah berapa kali saya update perbarui msh tetap tgl lahir tidak bisa dan scan barQode nya gabisa kebukaa sama sekali harus isi data dan saya isi tetapi tgl lahirnya error gabisa sehingga saya tdk bisa masuk mall mohon pengertianya,1
JMO,sangat memudahkan dan informasi yang diberikan sangat membantu,5
satusehat,"Tiap daftar gagal terus aplikasi nya gmn mau daftar saya sudah beberapakali gagal ,,, buang buang kuota aja dowbload beginian",1
satusehat,"Mohon untuk diperbaiki lagi sistemnya. Kenapa saat saya mau verivikasi kode OTP di pendaftaran vaksinasi tetap tidak bisa. Saya ulang ulang tetap tidak bisa. Otp kadaluarsa, server error dll. Mohon secepatnya diperbaiki. Dan tolong dong kasih nomer CS agar bisa lebih mudah jika ada kendala",1
pertamina,aplikasi bobrok bikin ribet masyarakat bikin antrian bbm ga karuan,1
satusehat,Mantap.. saling jaga,5
JMO,Aplikasi punya pemerintah tapi ga berkualitas.😅,1
satusehat,Mantap dgn adanya aplikasi PeduliLindungi kita dapat mengetahui status dan sertifikat vaksinasi coid-19,5
satusehat,Bagus sekali. Lebih ditingkatkan lagi untuk pelayanan masyarakat Indonesia,5
mobileJKN,"Tiap bulan buka aplikasi ini pasti pembaruan ,dan sifatnya pemakasaan ,gak di perbaharui gak bisa di pake..",2
mobileJKN,"Jangan sering di update to,,,",5
JMO,"Setelah download kenapa gx bisa masuk, trus no kpj tidak vailid. Jngn kecewakan kami lah",1
mobileJKN,Knp saya masukin data tanggal lahir selalu salah,2
mobileJKN,bagus aplikasinya lebih mudah dan cepat untuk cek stastus kepesertaan,5
pertamina,Bisa2nya pertamina mempersulit rayat kecil. Semua terhubung dgn apk lainnya ... Bikin tambah ribet urusan ... Sdh jelas isi apk bkn hny jatah BBM .. Jualan pakaian pun diadakan smp ke link apk lainnya pun diberlakukan. Hnya mencari keuntungan .,1
satusehat,ehh sudah muncul sertifikatnya,5
mobileJKN,Tdk dpt di proses trus apl macam apa ini,3
satusehat,"Pas daftar gak ada kode OTP masuk, saya daftar dari pagi sampai malam tetep gak bisa, mo vaksin aja susah bet tp diwajibkan vaksin",1
mobileJKN,Tlong di perbaiki tuk verifikasi gagal terus padahal da oke fersi terbaru,1
JMO,"Aplikasi JMO mudah dan simple , mudah²an dapat membantu nasabah dalam segala kebutuhannya",5
JMO,Aplikasi kadang masuk angin,1
pertamina,kasih 1 biar dihapus playstore 😅,1
mobileJKN,Oke lah bisa membantu,4
satusehat,Layanan dan ifonya bagus,5
satusehat,"mantap sangat bermanfaat, terimakasih pemerintah indonesia",5
satusehat,"Masuknya lama terus,",1
mobileJKN,Lebihh mudah dan terpercaya.,5
JMO,"Masyaallah keren bgt, awalnya bingung kenapa ada nama apps ini di hp ternyata ganti nama, dan untuk pencairan danapun sangat mudah, terima kasih ya min sdh menguprade aplikasi sehingga memudahkan pengguna untuk klaim dsna jht, sehat terus ya semuanya terima kasih☺",5
JMO,Bagus banget bisa membantu,4
pertamina,Tidak tersedia untuk pembayaran kartu debit NON-BUMN,3
mobileJKN,"Menyebalkan, kartu hilang minta ganti malah disuruh download aplikasi... Registrasinya aja ribet nggak bisa bisa, padahal jaringan bagus... Iuran rajin bayar... Tp pelayanannya kurang....",1
satusehat,Harys bisa buka,4
pertamina,"Mantabss aplikasinya, banyak bonus dan undiannya pula hehehe, maju terus mypertamina",5
satusehat,susah juga ya? pengen dapet sartipikat VAKSIN? Vaksin mah udah 2x tapi sartipikat ga keluar2? Mana klw ketempat RAME YG DI TANYAIN SARTIPIKAT MULU? Ampun dah? LIKUM AH,1
JMO,Ga bisa di instal nih setelah minta update apk nya .. PAYAH !! mudah mudahan Aman saldo JHT nya,1
satusehat,KODE VERIFIKASI GA MUNCUL MUNCUL,2
JMO,pelayanan nya sangat baik 🥰 semua petugas nya sangatlah ramah. 😊,5
mobileJKN,"Mantap, semuanya menjadi simpel dan mudah dengan mobile JKN",5
JMO,sangat membantu dan bisa memantau bahwa ada pembayaran jam sostek sudah di lakukan oleh perusahaan,5
mobileJKN,"Transaksi gagal melulu padahal sudah update, kenapa ya, nnti tiba2 tagihan membengkak atau mlh dpt gratisan ya, semoga sja ya dpt gratisan",4
pertamina,banyak bugnya om,1
pertamina,Semoga bisa terus memberi yg terbaik,5
mobileJKN,"Knp setiap saya mo cek karti bpjs sy di aplikasi ini tidak bisa, slalu muncul nomor kartu anda belum terdaftar? Gmn ini aplikasinya????",1
JMO,"Semenjak update jadi JMO ngelag ,ngebug kartu digital tidak ditemukan seudah berkali² coba ga muncul² kartu digitalnya pengkinian data juga tidak bisa . Kalo bisa adain live chat biar bisa langsung nanganin keluhan. Sering ga bisa masuk juga padahal internet stabil coba dong diperbaik , jadi gimana kartu digital tidak muncul dijmo??",1
JMO,Mudah2an semakin baik,3
pertamina,"Aplikasi nya aja bobrok, minta OTP aja gak di kirim",1
JMO,Semoga di permudah semua urusan klaim nya .. terima kasih BPJS 🙏,5
mobileJKN,"Ko begini amat ya aplikasi nya . Mau pindah faskes untuk lahiran susah banget masuk nya alasan nya 'transaksi blm dapat diproses mohon dicoba kembali' padahal dari kemarin di coba trs2an tetep ga bisa . Tolong di benerin lg agar memudahkan masyarakat, karna ini hal penting",1
JMO,Aplikasi nya mantul... Sangat membantu 👍👍👍👍,5
satusehat,apk ini keliatannya belum siap dipake masukin tgl lahir aja ga masuk2 payah,1
JMO,aplikasinya sangat membantu dan mudah di pahami,5
satusehat,APLIKASI PEDULI LINDUNGI SANGAT MEMBANTU KITA SEMUA DI SAAT PANDEMI COVID 19,5
JMO,"Setelah di update akun saya tidak bisa untuk login, keterangannya profil tidak di temukan, padahal akun dan pasword.nya sudah saya perbaharui, mohon bantuannya",1
satusehat,Selalu force close,1
JMO,Aplikasi ini memberi kenyaman untuk memberikan informasi yang tepat dan jelas,5
JMO,"Kenapa setelah masuk, untuk mengecek saldo TIDAK BISA ya,,,, Padahal sebelum nya di aplikasi bpjsku bisa .",1
pertamina,"Aplikasi pemaksaan,,, memonopoli,,, sangat buruk",1
JMO,Pengkinian data ko gk bisa bosss,1
mobileJKN,Setiap minggu aplikasi minta update. Konyol banget developernya. Harga udah makin mahal malah pelayanan main bobrok,1
mobileJKN,susah login ... otp entah kemana... mudah2an di kasih sehat terus biar gk berurusan sama yg beginian...,1
JMO,"Aplikasi gak jelas, di aplikasi ada keterangan bisa cair ke rekening tpi udh di isi data malah gk cair ujung2nya ke kantor bpjs. Aplikasi bapuk",1
pertamina,begini nih aplikasi BUMN??? Kacrut amat kalah sama aplikasi SWASTA....mentrinya kebanyakan bikin video tiktoddddd,1
satusehat,"Hallooo ini kenapa yaa saya daftar udah vaksin 2 kali kenapa gk bisa daftar? Nomor udah benar dan email udah bener, whaaayyyyyy? Saya mau nntn bioskop nih",1
JMO,Tolong di perbaiki lagi jmo nya,1
JMO,KEREN BANGETTTTT,5
mobileJKN,Keseringan pembaruan,3
satusehat,Blm maksimal penggunaannya.,4
mobileJKN,Udah bankkrut klen ya,1
JMO,JMO membuat kita lebih Gambang melihat fitur-fitur yang ada di JMO salah satunya cek tiap bulannya saldo kita.... terimakasih JMO....,4
JMO,Good. Sangat membantu lebih cepat dan efisien. Terima kasih JMO,5
KAI,Gak bisa di pake. Apa hp saya yang error.,1
satusehat,Vaksin covid 19,5
JMO,Katanya saya punya 2 no kjp padahal yang pertama saya sudah dapat cairin ko masih ada no kpj nya ya,2
satusehat,Cukup membantu jg,3
mobileJKN,Transaksi tidak dapat diproses harus menungulang kembali mau sampe kapan,1
mobileJKN,"Enggak bs login,.",1
satusehat,Aplikasi dari pemerintah kok banyak eror nya . Masa pakai wifi anak saya daring lancar saya daftar kok gak ada koneksi internet . Pakai data juga katanya gak ada koneksi internet. Malu²in,1
satusehat,Aplikasi yg bagus bisa mengetahui tentang perkembangan pandemi dan cara terhindar dr covid serta bisa mendaftar utk vaksin,5
satusehat,"Aplikasi ini terlalu memata-matai pengguna, jangan install",1
KAI,Kata sandi tidak valid mulu... Jadi pegel jari mencetnya,1
satusehat,harusnya aplikasi ini mencantumkan solusi atau apalah jika ada kejadian seseorang yg sdh d vaksin ketika akan melihat sertfikat ternyata gk muncul malah yg muncul pemberitahuan data vaksinnya gak ada inikan membingungkan padahal da vaksin tp bilangnya datanya gk ada,4
satusehat,Kalo cuma karna mau ke mall aja si.. Selebihnya males mau install. Menuhin memori aja,1
JMO,sangat membantu dan sangat bermanfaat terima kasih JMO,5
satusehat,"Knapa ya , sertipikat hasil vaksin yang ke dua saya belum muncul. Makasih.",5
satusehat,Periksa data anda berkali2,1
satusehat,Update malah error,1
mobileJKN,"Terlalu banyak yg ngeluh, kasih 1 aja, kalo ada stengah sy kasih stengah tu",1
mobileJKN,Apl sering minta update,1
pertamina,"Burik, mau beli bensin aja ribet banget",1
mobileJKN,"Tolong perbaiki di bagian kolom verifikasi sms. Otp nya masuk, namun tidak ada kolom untuk masukin otp di aplikasinya",2
mobileJKN,"Punya pemerintah kok gini , minta update tapi ga jelas ...",1
mobileJKN,Apk nya minta di update terus smpe memori saya penuh ... gimana sih ini??? Menyebalkan,2
JMO,semoga menjadi yg terbaik,5
mobileJKN,Masak tiap buka aplikasi harus update. Klu tdk update tdk bisa terbuka..,1
mobileJKN,"mau bertanya ni min, bisakah bpjs kesehatan di pakai untuk melahirkan",5
JMO,"Setelah penggabungn saldo status kepesertaan kenapa keterangannya non aktif, padahal di cek di sipp status kepesertaan aktif. Bikin orang jantungan ajah 😔",1
JMO,Cepat proses nya .terimakasih .sangat membantu,5
mobileJKN,Lumayanlah walau harus update,4
JMO,Pusing saya sama aplikasi ini pengkinian data tidak bisa... Malah jd hilang semua data.... Wah membahayakan jg nih aplikasi... Cari IT yg hebat dong buat bikin aplikasi,1
JMO,"Min ,, setiap buka APK harus masukan emain dan pasword dan setiap mau log in selalu gagal ( email / pasword selalu salah ) padahal sudah bener .. Klik lupa pasword dan pasword sdh d reset ulang ,, besoknya masuk APK lg mau log in ,, dengan memasukan pasword yg baru GAGAL lg ,, kesalah lg .. reset pasword lg dan setiap log in selalu begitu ... Gak bermutu blasss",1
